User_ID,User_Name,Email_Phone,Country,Subscription_Type,Genre_Watched,Watch_Time_Hours,Rating
U1105,sarah connor,"bob@yahoo.com,09011223344",canada,Standard,Action,56.32,2
U1108,jane smith,"john@example.com,08012345678",uk,Basic,Action,81.96,2
U1141,bob lee,"bob@yahoo.com,09011223344",Canada,Basic,SCI-FI,72.94,
U1055,Alice Brown,"bob@yahoo.com,09011223344",canada,Standard,SCI-FI,,3
U1094,sarah connor,"bob@yahoo.com,09011223344",USA,Premium,Drama,37.47,4
U1029,bob lee,"bob@yahoo.com,09011223344",UK,Premium,sci-fi,110.32,5
U1101,,"bob@yahoo.com,09011223344",UK,premium,sci-fi,23.54,3
U1051,Alice Brown,"bob@yahoo.com,09011223344",Canada,premium,drama,2.58,3
U1100,John Doe,"john@example.com,08012345678",USA,Premium,comedy,21.9,2
U1142,bob lee,"alice@gmail.com,07098765432",Canada,basic,Action,60.53,3
U1019,sarah connor,"alice@gmail.com,07098765432",USA,Basic,action,29.98,5
U1084,bob lee,"bob@yahoo.com,09011223344",Usa,Basic,drama,108.74,4
U1015,bob lee,"john@example.com,08012345678",uk,Basic,sci-fi,107.48,2
U1066,bob lee,"bob@yahoo.com,09011223344",Usa,premium,SCI-FI,9.26,
U1024,Alice Brown,,,Standard,SCI-FI,47.49,5
U1030,bob lee,"john@example.com,08012345678",USA,Standard,Drama,34.38,
U1128,Chris Evans,"john@example.com,08012345678",Canada,standard,,113.88,3
U1027,John Doe,"bob@yahoo.com,09011223344",UK,Standard,Drama,103.61,5
U1098,Alice Brown,"alice@gmail.com,07098765432",UK,premium,drama,96.18,1
U1016,Alice Brown,"bob@yahoo.com,09011223344",Canada,Basic,Comedy,37.65,1
U1075,sarah connor,"john@example.com,08012345678",Nigeria,standard,drama,17.11,1
U1018,bob lee,"bob@yahoo.com,09011223344",UK,Standard,Comedy,19.58,4
U1012,jane smith,"john@example.com,08012345678",UK,basic,Action,70.13,3
U1009,jane smith,"alice@gmail.com,07098765432",USA,premium,,51.04,5
U1031,bob lee,"alice@gmail.com,07098765432",Usa,standard,Action,64.95,
U1126,John Doe,"bob@yahoo.com,09011223344",USA,Basic,sci-fi,8.97,3
U1097,Alice Brown,"bob@yahoo.com,09011223344",Canada,Premium,SCI-FI,97.99,1
U1056,bob lee,"john@example.com,08012345678",USA,standard,sci-fi,58.12,4
U1131,jane smith,"john@example.com,08012345678",USA,basic,drama,7.25,1
