User_ID,User_Name,Country,Subscription_Type,Genre_Watched,Watch_Time_Hours,Rating,Email_Address,Phone_Number
U1105,Sarah Connor,Canada,Standard,Action,56.32,2.0,bob@yahoo.com,09011223344
U1108,Jane Smith,Uk,Basic,Action,81.96,2.0,john@example.com,08012345678
U1141,Bob Lee,Canada,Basic,Sci-Fi,72.94,none,bob@yahoo.com,09011223344
U1055,Alice Brown,Canada,Standard,Sci-Fi,none,3.0,bob@yahoo.com,09011223344
U1094,Sarah Connor,Usa,Premium,Drama,37.47,4.0,bob@yahoo.com,09011223344
U1029,Bob Lee,Uk,Premium,Sci-Fi,110.32,5.0,bob@yahoo.com,09011223344
U1101,none,Uk,Premium,Sci-Fi,23.54,3.0,bob@yahoo.com,09011223344
U1051,Alice Brown,Canada,Premium,Drama,2.58,3.0,bob@yahoo.com,09011223344
U1100,John Doe,Usa,Premium,Comedy,21.9,2.0,john@example.com,08012345678
U1142,Bob Lee,Canada,Basic,Action,60.53,3.0,alice@gmail.com,07098765432
U1019,Sarah Connor,Usa,Basic,Action,29.98,5.0,alice@gmail.com,07098765432
U1084,Bob Lee,Usa,Basic,Drama,108.74,4.0,bob@yahoo.com,09011223344
U1015,Bob Lee,Uk,Basic,Sci-Fi,107.48,2.0,john@example.com,08012345678
U1066,Bob Lee,Usa,Premium,Sci-Fi,9.26,none,bob@yahoo.com,09011223344
U1024,Alice Brown,none,Standard,Sci-Fi,47.49,5.0,none,none
U1030,Bob Lee,Usa,Standard,Drama,34.38,none,john@example.com,08012345678
U1128,Chris Evans,Canada,Standard,none,113.88,3.0,john@example.com,08012345678
U1027,John Doe,Uk,Standard,Drama,103.61,5.0,bob@yahoo.com,09011223344
U1098,Alice Brown,Uk,Premium,Drama,96.18,1.0,alice@gmail.com,07098765432
U1016,Alice Brown,Canada,Basic,Comedy,37.65,1.0,bob@yahoo.com,09011223344
U1075,Sarah Connor,Nigeria,Standard,Drama,17.11,1.0,john@example.com,08012345678
U1018,Bob Lee,Uk,Standard,Comedy,19.58,4.0,bob@yahoo.com,09011223344
U1012,Jane Smith,Uk,Basic,Action,70.13,3.0,john@example.com,08012345678
U1009,Jane Smith,Usa,Premium,none,51.04,5.0,alice@gmail.com,07098765432
U1031,Bob Lee,Usa,Standard,Action,64.95,none,alice@gmail.com,07098765432
U1126,John Doe,Usa,Basic,Sci-Fi,8.97,3.0,bob@yahoo.com,09011223344
U1097,Alice Brown,Canada,Premium,Sci-Fi,97.99,1.0,bob@yahoo.com,09011223344
U1056,Bob Lee,Usa,Standard,Sci-Fi,58.12,4.0,john@example.com,08012345678
U1131,Jane Smith,Usa,Basic,Drama,7.25,1.0,john@example.com,08012345678
U1104,Chris Evans,Uk,Standard,Action,70.53,3.0,bob@yahoo.com,09011223344
U1136,Sarah Connor,Nigeria,Premium,Sci-Fi,118.94,3.0,john@example.com,08012345678
U1078,Sarah Connor,Uk,Basic,Action,32.32,1.0,alice@gmail.com,07098765432
none,Chris Evans,Usa,Premium,Comedy,21.39,5.0,bob@yahoo.com,09011223344
U1115,Jane Smith,Nigeria,Standard,Sci-Fi,111.79,5.0,bob@yahoo.com,09011223344
U1002,Sarah Connor,Uk,Standard,Sci-Fi,80.21,none,john@example.com,08012345678
U1123,Chris Evans,Usa,Basic,Drama,117.08,none,john@example.com,08012345678
U1045,Bob Lee,Uk,Premium,Drama,27.66,none,john@example.com,08012345678
U1042,Alice Brown,Usa,Premium,Sci-Fi,0.58,2.0,bob@yahoo.com,09011223344
U1069,Bob Lee,Usa,Basic,Comedy,51.03,none,john@example.com,08012345678
U1090,Alice Brown,Canada,Standard,Action,none,2.0,john@example.com,08012345678
